inv_ds_mppt_hi,1000,Maximum MPPT DC voltage
inv_ds_idcmax,26,Maximum DC current
inv_ds_pnt,25,Power consumption at night
inv_ds_eff_type,0,Use weighted or manufacturer efficiency
inv_ds_vdcmax,1100,Maximum DC voltage
inv_ds_ac_voltage,480,Nominal AC voltage
inv_ds_eff_peak_or_nom,96,Manufacturer efficiency
inv_ds_eff_weighted,98.8,Weighted efficiency
inv_ds_mppt_low,200,Minimum MPPT DC voltage
inv_ds_num_mppt,10,Number of MPPT inputs
inv_ds_paco,100000,Maximum AC output power
inv_ds_pso,800,Power consumption during operation
inv_ds_vdco,720,Nominal DC voltage
inv_tdc_ds,[1500;50;-0.02;53;-0.47],Inv Temp Derate Datasheet
