6par_isc,18.73,Short circuit current (Isc)
6par_is_bifacial,0,Use Bifacial Modules
6par_bvoc_units,1,bVoc Temp Coeff Units
6par_imp,17.64,Maximum power point current (Imp)
6par_transient_thermal_model_unit_mass,11.0919,Module unit mass
6par_voc,49.8,Open circuit voltage (Voc)
6par_aisc_display,0.045,Temperature coefficient of Isc
6par_bifaciality,0.7,Bifaciality
6par_aspect_ratio,1.83,Module aspect ratio
6par_aisc_units,1,aIsc Temp Coeff Units
6par_gpmp,-0.29,Temperature coefficient of max. power point
6par_area,3.1,Module area
6par_bifacial_ground_clearance_height,1,Ground clearance height
6par_bifacial_transmission_factor,0.013,Transmission fraction
6par_bvoc_display,-0.25,Temperature coefficient of Voc
6par_celltech,0,Cell type
6par_module_name,JA Solar JAM66D46-740/LB,Module name
6par_mounting,1,Approximate installation height
6par_nser,132,Number of cells in series
6par_standoff,6,Standoff height
6par_tnoct,45,Nominal operating cell temperature
6par_vmp,41.96,Maximum power point voltage (Vmp)
